time_window,source_ip,total_logins,failed_logins,successful_logins,unique_users,admin_targets,unknown_devices,vpn_usage,mfa_usage,unique_countries,label,failure_rate,success_rate,unknown_device_rate,mfa_rate
2026-01-01 00:00:00,10.0.0.10,4,0,4,4,0,0,2,2,2,normal,0.0,1.0,0.0,0.5
2026-01-01 00:00:00,10.0.0.15,8,1,7,7,0,0,5,4,3,normal,0.125,0.875,0.0,0.5
2026-01-01 00:00:00,10.0.0.5,9,1,8,7,0,0,5,7,2,normal,0.1111111111111111,0.8888888888888888,0.0,0.7777777777777778
2026-01-01 00:00:00,172.16.0.8,7,0,7,7,0,0,6,6,3,normal,0.0,1.0,0.0,0.8571428571428571
2026-01-01 00:00:00,192.168.1.20,7,0,7,7,0,0,1,5,3,normal,0.0,1.0,0.0,0.7142857142857143
2026-01-01 00:00:00,91.200.14.8,5,5,0,5,0,5,1,0,2,password_spraying,1.0,0.0,1.0,0.0
2026-01-01 00:05:00,10.0.0.10,6,0,6,5,0,0,4,5,2,normal,0.0,1.0,0.0,0.8333333333333334
2026-01-01 00:05:00,10.0.0.15,10,0,10,9,0,0,5,7,3,normal,0.0,1.0,0.0,0.7
2026-01-01 00:05:00,10.0.0.5,4,0,4,4,0,0,0,2,2,normal,0.0,1.0,0.0,0.5
2026-01-01 00:05:00,172.16.0.8,10,2,8,9,0,0,4,7,3,normal,0.2,0.8,0.0,0.7
2026-01-01 00:05:00,192.168.1.20,13,0,13,9,0,0,9,11,3,normal,0.0,1.0,0.0,0.8461538461538461
2026-01-01 00:05:00,91.200.14.8,29,29,0,29,2,29,8,0,4,password_spraying,1.0,0.0,1.0,0.0
2026-01-01 00:10:00,10.0.0.10,3,0,3,3,0,0,1,2,2,normal,0.0,1.0,0.0,0.6666666666666666
2026-01-01 00:10:00,10.0.0.15,7,0,7,7,1,0,2,5,3,normal,0.0,1.0,0.0,0.7142857142857143
2026-01-01 00:10:00,10.0.0.5,8,1,7,6,0,0,4,6,3,normal,0.125,0.875,0.0,0.75
2026-01-01 00:10:00,172.16.0.8,9,1,8,7,0,0,3,7,3,normal,0.1111111111111111,0.8888888888888888,0.0,0.7777777777777778
2026-01-01 00:10:00,192.168.1.20,10,0,10,9,1,0,4,7,3,normal,0.0,1.0,0.0,0.7
2026-01-01 00:15:00,10.0.0.10,10,0,10,9,1,0,3,7,3,normal,0.0,1.0,0.0,0.7
2026-01-01 00:15:00,10.0.0.15,2,0,2,2,0,0,1,2,1,normal,0.0,1.0,0.0,1.0
2026-01-01 00:15:00,10.0.0.5,10,2,8,8,3,0,6,9,3,normal,0.2,0.8,0.0,0.9
2026-01-01 00:15:00,172.16.0.8,8,0,8,7,1,0,7,5,3,normal,0.0,1.0,0.0,0.625
2026-01-01 00:15:00,192.168.1.20,5,1,4,5,0,0,4,4,3,normal,0.2,0.8,0.0,0.8
2026-01-01 00:20:00,10.0.0.10,8,0,8,7,0,0,4,5,3,normal,0.0,1.0,0.0,0.625
2026-01-01 00:20:00,10.0.0.15,5,1,4,5,0,0,3,5,2,normal,0.2,0.8,0.0,1.0
2026-01-01 00:20:00,10.0.0.5,4,0,4,4,0,0,1,3,2,normal,0.0,1.0,0.0,0.75
2026-01-01 00:20:00,172.16.0.8,1,0,1,1,0,0,0,1,1,normal,0.0,1.0,0.0,1.0
2026-01-01 00:20:00,192.168.1.20,8,2,6,8,1,0,4,7,3,normal,0.25,0.75,0.0,0.875
2026-01-01 00:25:00,10.0.0.10,7,0,7,7,0,0,3,3,3,normal,0.0,1.0,0.0,0.42857142857142855
2026-01-01 00:25:00,10.0.0.15,5,1,4,5,1,0,4,4,3,normal,0.2,0.8,0.0,0.8
2026-01-01 00:25:00,10.0.0.5,4,0,4,4,0,0,4,3,2,normal,0.0,1.0,0.0,0.75
2026-01-01 00:25:00,172.16.0.8,6,0,6,6,1,0,2,5,3,normal,0.0,1.0,0.0,0.8333333333333334
2026-01-01 00:25:00,192.168.1.20,9,0,9,9,0,0,5,8,3,normal,0.0,1.0,0.0,0.8888888888888888
2026-01-01 00:30:00,10.0.0.10,9,0,9,7,1,0,5,7,3,normal,0.0,1.0,0.0,0.7777777777777778
2026-01-01 00:30:00,10.0.0.15,5,0,5,5,0,0,3,2,3,normal,0.0,1.0,0.0,0.4
2026-01-01 00:30:00,10.0.0.5,9,1,8,9,1,0,4,8,3,normal,0.1111111111111111,0.8888888888888888,0.0,0.8888888888888888
2026-01-01 00:30:00,172.16.0.8,9,0,9,9,0,0,3,6,3,normal,0.0,1.0,0.0,0.6666666666666666
2026-01-01 00:30:00,192.168.1.20,9,0,9,6,0,0,3,6,3,normal,0.0,1.0,0.0,0.6666666666666666
2026-01-01 00:35:00,10.0.0.10,8,1,7,8,1,0,4,5,3,normal,0.125,0.875,0.0,0.625
2026-01-01 00:35:00,10.0.0.15,5,0,5,5,0,0,2,5,3,normal,0.0,1.0,0.0,1.0
2026-01-01 00:35:00,10.0.0.5,17,1,16,15,1,0,10,11,3,normal,0.058823529411764705,0.9411764705882353,0.0,0.6470588235294118
2026-01-01 00:35:00,172.16.0.8,7,1,6,7,1,0,2,5,3,normal,0.14285714285714285,0.8571428571428571,0.0,0.7142857142857143
2026-01-01 00:35:00,192.168.1.20,6,0,6,6,1,0,5,5,3,normal,0.0,1.0,0.0,0.8333333333333334
2026-01-01 00:35:00,198.51.100.25,5,5,0,1,5,5,0,0,4,brute_force,1.0,0.0,1.0,0.0
2026-01-01 00:40:00,10.0.0.10,9,0,9,9,2,0,3,8,3,normal,0.0,1.0,0.0,0.8888888888888888
2026-01-01 00:40:00,10.0.0.15,4,0,4,4,0,0,0,3,2,normal,0.0,1.0,0.0,0.75
2026-01-01 00:40:00,10.0.0.5,8,0,8,7,0,0,5,6,3,normal,0.0,1.0,0.0,0.75
2026-01-01 00:40:00,172.16.0.8,5,1,4,3,0,0,3,3,2,normal,0.2,0.8,0.0,0.6
2026-01-01 00:40:00,192.168.1.20,5,0,5,5,0,0,2,4,2,normal,0.0,1.0,0.0,0.8
2026-01-01 00:40:00,198.51.100.25,5,5,0,1,5,5,0,0,2,brute_force,1.0,0.0,1.0,0.0
2026-01-01 00:45:00,10.0.0.10,7,0,7,6,0,0,0,5,1,normal,0.0,1.0,0.0,0.7142857142857143
2026-01-01 00:45:00,10.0.0.15,7,0,7,7,0,0,3,6,2,normal,0.0,1.0,0.0,0.8571428571428571
